date,plant_group,site_code,reservoir,island_code,lake_level_m,active_storage_mm3,contingent_storage_mm3,total_storage_mm3,quality_code,source_file
1980-01-14,Waikato river,TPO,Lake Taupo,NI,357.014,711.654,,711.654,320,NI_TPO_Storage_LakeTaupo.csv
1980-01-14,Clutha,WAN,Lake Wanaka,SI,277.537,412.639,,412.639,320,SI_WAN_Storage_LakeWanaka.csv
1980-01-14,Waikaremoana,WKA,Lake Waikaremoana,NI,583.132,149.2,,149.2,320,NI_WKA_Storage_LakeWaikaremoana.csv
1980-01-14,Clutha,WPU,Lake Wakatipu,SI,310.174,388.3,,388.3,320,SI_WPU_Storage_LakeWakatipu.csv
1980-01-15,Clutha,HWE,Lake Hawea,SI,346.34,2209.659,,2209.659,320,SI_HWE_Storage_LakeHawea.csv
1980-01-15,Manapouri,MAN,Lake Manapouri,SI,177.853,276.104,,276.104,320,SI_MAN_Storage_LakeManapouri.csv
1980-01-15,Waitaki river,OHA,Lake Ohau,SI,519.224,0.0,,0.0,320,SI_OHA_Storage_LakeOhau.csv
1980-01-15,Waitaki river,PKI,Lake Pukaki,SI,532.457,2417.273,,2417.273,320,SI_PKI_Storage_LakePukaki.csv
1980-01-15,Manapouri,TAU,Lake Te Anau,SI,202.747,664.071,,664.071,320,SI_TAU_Storage_LakeTeAnau.csv
1980-01-15,Waitaki river,TKA,Lake Tekapo,SI,710.482,590.917,0.0,590.917,320,SI_TKA_Storage_LakeTekapo.csv
1980-01-15,Waikato river,TPO,Lake Taupo,NI,357.012,710.41,,710.41,320,NI_TPO_Storage_LakeTaupo.csv
1980-01-15,Clutha,WAN,Lake Wanaka,SI,277.521,409.552,,409.552,320,SI_WAN_Storage_LakeWanaka.csv
1980-01-15,Waikaremoana,WKA,Lake Waikaremoana,NI,583.126,148.883,,148.883,320,NI_WKA_Storage_LakeWaikaremoana.csv
1980-01-15,Clutha,WPU,Lake Wakatipu,SI,310.173,388.044,,388.044,320,SI_WPU_Storage_LakeWakatipu.csv
1980-01-16,Clutha,HWE,Lake Hawea,SI,346.456,2227.128,,2227.128,320,SI_HWE_Storage_LakeHawea.csv
1980-01-16,Manapouri,MAN,Lake Manapouri,SI,177.826,272.221,,272.221,320,SI_MAN_Storage_LakeManapouri.csv
1980-01-16,Waitaki river,OHA,Lake Ohau,SI,519.467,0.988,,0.988,320,SI_OHA_Storage_LakeOhau.csv
1980-01-16,Waitaki river,PKI,Lake Pukaki,SI,532.603,2443.484,,2443.484,320,SI_PKI_Storage_LakePukaki.csv
1980-01-16,Manapouri,TAU,Lake Te Anau,SI,202.728,657.153,,657.153,320,SI_TAU_Storage_LakeTeAnau.csv
