date,fuel,generation_mwh
2020-04-26,Wood,578.84
2020-04-27,Gas,9935.563
2020-04-27,Geothermal,22093.413
2020-04-27,Hydro,49919.86
2020-04-27,Liquid fuel,0.0
2020-04-27,Wind,10593.72
2020-04-27,Wood,530.29
2020-04-28,Coal,3037.299
2020-04-28,Gas,11487.752
2020-04-28,Geothermal,21812.324
2020-04-28,Hydro,58901.991
2020-04-28,Liquid fuel,0.0
2020-04-28,Wind,4718.986
2020-04-28,Wood,787.329
2020-04-29,Coal,4013.613
2020-04-29,Gas,12470.988
2020-04-29,Geothermal,21911.011
2020-04-29,Hydro,62539.94
2020-04-29,Liquid fuel,0.0
2020-04-29,Wind,3769.432
2020-04-29,Wood,743.124
2020-04-30,Coal,3668.026
2020-04-30,Gas,12315.338
2020-04-30,Geothermal,21968.426
2020-04-30,Hydro,58524.208
2020-04-30,Liquid fuel,0.0
2020-04-30,Wind,10006.595
2020-04-30,Wood,786.447
2020-05-01,Coal,3964.361
2020-05-01,Gas,11963.367
2020-05-01,Geothermal,22007.153
2020-05-01,Hydro,57586.706
2020-05-01,Liquid fuel,0.0
2020-05-01,Wind,10160.046
2020-05-01,Wood,811.095
2020-05-02,Coal,3116.017
2020-05-02,Gas,11484.243
2020-05-02,Geothermal,21870.451
2020-05-02,Hydro,53134.798
