date,site_code,reservoir,storage_mm3,storage_change_mm3_day,headwater_inflow_mm3_day,implied_total_outflow_mm3_day,hmd_spill_release_mm3_day,residual_controlled_release_mm3_day
1980-02-03,TKA,Lake Tekapo,607.951,-5.842,11.057299,16.899299,16.792,0.107299
1980-02-03,TPO,Lake Taupo,744.049,-1.149,9.664531,10.813531,12.976,-2.162469
1980-02-03,WKA,Lake Waikaremoana,151.244,0.157,0.165629,0.008629,0.0,0.008629
1980-02-04,HWE,Lake Hawea,2301.702,-1.663,7.500038,9.163038,5.56,3.603038
1980-02-04,MAN,Lake Manapouri,528.341,22.33,19.927555,-2.402445,45.93,-48.332445
1980-02-04,OHA,Lake Ohau,6.912,-3.654,18.6624,22.3164,0.0,22.3164
1980-02-04,PKI,Lake Pukaki,2438.764,0.503,28.088467,27.585467,21.937,5.648467
1980-02-04,TAU,Lake Te Anau,840.801,41.25,58.927478,17.677478,50.39,-32.712522
1980-02-04,TKA,Lake Tekapo,603.355,-4.596,15.760829,20.356829,16.846,3.510829
1980-02-04,TPO,Lake Taupo,737.811,-6.238,9.25681,15.49481,20.194,-4.69919
1980-02-04,WKA,Lake Waikaremoana,150.3,-0.944,0.183254,1.127254,0.0,1.127254
1980-02-05,HWE,Lake Hawea,2300.184,-1.518,7.500211,9.018211,5.56,3.458211
1980-02-05,MAN,Lake Manapouri,531.686,3.345,10.192003,6.847003,45.727,-38.879997
1980-02-05,OHA,Lake Ohau,5.032,-1.88,11.0592,12.9392,0.0,12.9392
1980-02-05,PKI,Lake Pukaki,2443.253,4.489,28.891901,24.402901,30.905,-6.502099
1980-02-05,TAU,Lake Te Anau,832.073,-8.728,29.793139,38.521139,50.007,-11.485861
1980-02-05,TKA,Lake Tekapo,603.617,0.262,15.642202,15.380202,16.764,-1.383798
1980-02-05,TPO,Lake Taupo,730.076,-7.735,10.947398,18.682398,18.271,0.411398
1980-02-05,WKA,Lake Waikaremoana,147.888,-2.412,0.188438,2.600438,0.0,2.600438
