TimePeriod,Status,Value,Variable,Unit,Scenario
2030,Projected,331959.925,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Environmental
2031,Projected,337895.917,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Environmental
2032,Projected,343578.925,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Environmental
2033,Projected,349123.099,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Environmental
2034,Projected,354522.474,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Environmental
2035,Projected,359764.639,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Environmental
2036,Projected,364861.343,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Environmental
2037,Projected,369895.202,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Environmental
2038,Projected,374927.16,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Environmental
2039,Projected,379960.616,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Environmental
2040,Projected,384984.048,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Environmental
2041,Projected,389964.707,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Environmental
2042,Projected,394881.713,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Environmental
2043,Projected,399734.079,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Environmental
2044,Projected,404527.474,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Environmental
2045,Projected,409254.961,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Environmental
2046,Projected,413899.866,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Environmental
2047,Projected,418445.751,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Environmental
2048,Projected,422890.7,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Environmental
2049,Projected,427230.448,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Environmental
